Date,Open,High,Low,Close,Adj Close,Volume
19-10-2023,19545.19922,19681.80078,19512.34961,19624.69922,19624.69922,230300
20-10-2023,19542.15039,19593.80078,19518.69922,19542.65039,19542.65039,198300
23-10-2023,19521.59961,19556.84961,19257.84961,19281.75,19281.75,176000
25-10-2023,19286.44922,19347.30078,19074.15039,19122.15039,19122.15039,225300
26-10-2023,19027.25,19041.69922,18837.84961,18857.25,18857.25,300400
27-10-2023,18928.75,19076.15039,18926.65039,19047.25,19047.25,205200
30-10-2023,19053.40039,19158.5,18940,19140.90039,19140.90039,180100
31-10-2023,19232.94922,19233.69922,19056.44922,19079.59961,19079.59961,206000
01-11-2023,19064.05078,19096.05078,18973.69922,18989.15039,18989.15039,194100
02-11-2023,19120,19175.25,19064.15039,19133.25,19133.25,245600
03-11-2023,19241,19276.25,19210.90039,19230.59961,19230.59961,189500
06-11-2023,19345.84961,19423,19309.69922,19411.75,19411.75,180700
07-11-2023,19404.05078,19423.5,19329.09961,19406.69922,19406.69922,198700
08-11-2023,19449.59961,19464.40039,19401.5,19443.5,19443.5,195000
09-11-2023,19457.40039,19463.90039,19378.34961,19395.30078,19395.30078,208400
10-11-2023,19351.84961,19451.30078,19329.44922,19425.34961,19425.34961,152200
13-11-2023,19486.75,19494.40039,19414.75,19443.55078,19443.55078,189300
15-11-2023,19651.40039,19693.19922,19579.65039,19675.44922,19675.44922,291500
16-11-2023,19674.69922,19875.25,19627,19765.19922,19765.19922,282700
17-11-2023,19674.75,19806,19667.44922,19731.80078,19731.80078,236800
20-11-2023,19731.15039,19756.44922,19670.5,19694,19694,173800
21-11-2023,19770.90039,19829.09961,19754.05078,19783.40039,19783.40039,195000
22-11-2023,19784,19825.55078,19703.84961,19811.84961,19811.84961,184500
23-11-2023,19828.44922,19875.15039,19786.75,19802,19802,170000
24-11-2023,19809.59961,19832.84961,19768.84961,19794.69922,19794.69922,145900
28-11-2023,19844.65039,19916.84961,19800,19889.69922,19889.69922,229600
29-11-2023,19976.55078,20104.65039,19956.30078,20096.59961,20096.59961,236200
30-11-2023,20108.5,20158.69922,20015.84961,20133.15039,20133.15039,486600
01-12-2023,20194.09961,20291.55078,20183.69922,20267.90039,20267.90039,265800
04-12-2023,20601.94922,20702.65039,20507.75,20686.80078,20686.80078,381100
05-12-2023,20808.90039,20864.05078,20711.15039,20855.09961,20855.09961,421000
06-12-2023,20950.75,20961.94922,20852.15039,20937.69922,20937.69922,359200
07-12-2023,20932.40039,20941.25,20850.80078,20901.15039,20901.15039,275000
08-12-2023,20934.09961,21006.09961,20862.69922,20969.40039,20969.40039,292400
11-12-2023,20965.30078,21026.09961,20923.69922,20997.09961,20997.09961,212900
12-12-2023,21018.55078,21037.90039,20867.15039,20906.40039,20906.40039,244900
13-12-2023,20929.75,20950,20769.5,20926.34961,20926.34961,260300
14-12-2023,21110.40039,21210.90039,21074.44922,21182.69922,21182.69922,334400
15-12-2023,21287.44922,21492.30078,21235.30078,21456.65039,21456.65039,508800
18-12-2023,21434.80078,21482.80078,21365.34961,21418.65039,21418.65039,249700
19-12-2023,21477.65039,21505.05078,21337.75,21453.09961,21453.09961,249800
20-12-2023,21543.5,21593,21087.34961,21150.15039,21150.15039,363900
21-12-2023,21033.94922,21288.34961,20976.80078,21255.05078,21255.05078,277500
22-12-2023,21295.84961,21390.5,21232.44922,21349.40039,21349.40039,284700
26-12-2023,21365.19922,21477.15039,21329.44922,21441.34961,21441.34961,219500
27-12-2023,21497.65039,21675.75,21495.80078,21654.75,21654.75,256500
28-12-2023,21715,21801.44922,21678,21778.69922,21778.69922,393100
29-12-2023,21737.65039,21770.30078,21676.90039,21731.40039,21731.40039,270900
02-01-2024,21751.34961,21755.59961,21555.65039,21665.80078,21665.80078,263700
03-01-2024,21661.09961,21677,21500.34961,21517.34961,21517.34961,311900
04-01-2024,21605.80078,21685.65039,21564.55078,21658.59961,21658.59961,339200
05-01-2024,21705.75,21749.59961,21629.19922,21710.80078,21710.80078,309300
08-01-2024,21747.59961,21763.94922,21492.90039,21513,21513,231500
09-01-2024,21653.59961,21724.44922,21517.84961,21544.84961,21544.84961,228600
10-01-2024,21529.30078,21641.84961,21448.65039,21618.69922,21618.69922,217000
11-01-2024,21688,21726.5,21593.75,21647.19922,21647.19922,212500
12-01-2024,21773.55078,21928.25,21715.15039,21894.55078,21894.55078,294700
15-01-2024,22053.15039,22115.55078,21963.55078,22097.44922,22097.44922,345500
16-01-2024,22080.5,22124.15039,21969.80078,22032.30078,22032.30078,292400
17-01-2024,21647.25,21851.5,21550.44922,21571.94922,21571.94922,456000
18-01-2024,21414.19922,21539.40039,21285.55078,21462.25,21462.25,0
